ItemNum,ItemName,Cost,Price,Retail_Price,Tax_1,AltSku,Dept_ID,ItemName_Extra,Count_This_Item,Print_On_Receipt,AllowReturns
720815910539,CABO WABO ANEJO 750ML,32.81000000,46.99000000,0.00000000,True,720815910539,TEQUILA,.,False,True,True
720815910737,CABO WABO BLANCO 750ML,24.80000000,31.99000000,0.00000000,True,720815910737,TEQUILA,.,False,True,True
720815911635,750 CABO UNO 3N 80PF,0.00000000,0.00000000,0.00000000,False,720815911635,NONE,.,False,True,True
720815930131,CORRALEJO REPOSADO 750ML,25.60000000,32.99000000,0.00000000,True,720815930131,TEQUILA,.,False,True,True
720815930339,750 CORRALEJO ANEJO 80P6N,0.00000000,0.00000000,0.00000000,False,720815930339,NONE,.,False,True,True
720815930636,750 CORRALEJO BLANCO 6IN,0.00000000,0.00000000,0.00000000,False,720815930636,NONE,.,False,True,True
720815931336,CORRALEJO REPOSADO GIFT SET,25.59000000,31.99000000,0.00000000,True,720815931336,TEQUILA,.,False,True,True
720815931534,CORRALEJO SILVER GIFT 750ML,22.40000000,28.99000000,0.00000000,True,720815931534,TEQUILA,.,False,True,True
720815950139,ZAYA RUM 750ML,27.19000000,36.99000000,0.00000000,True,720815950139,RUM,.,False,True,True
720815950634,ZAYA RUM 12YR 750ML,25.59000000,34.99000000,0.00000000,True,720815950634,RUM,.,False,True,True
720815980020,SEAGRAM APRICOT 375ML,5.61000000,5.99000000,0.00000000,True,720815980020,VODKA,.,False,True,True
720815980037,SEAGRAM APRICOT 750ML,8.00000000,10.99000000,0.00000000,True,720815980037,VODKA,.,False,True,True
720815980075,SEAGRAM APRICOT 200ML,3.46000000,4.99000000,0.00000000,True,720815980075,VODKA,.,False,True,True
720815980129,SEAGRAM GRAPEFRUIT 375ML,5.61000000,5.99000000,0.00000000,True,720815980129,VODKA,.,False,True,True
720815980136,SEAGRAM GRAPEFRUIT 750ML,8.00000000,10.99000000,0.00000000,True,720815980136,VODKA,.,False,True,True
720815980228,SEAGRAM WATERMELON 375ML,0.00000000,5.99000000,0.00000000,True,720815980228,VODKA,.,False,True,True
720815980235,SEAGRAM WATERMELON 750ML,0.00000000,10.99000000,0.00000000,True,720815980235,VODKA,.,False,True,True
720815980242,SEAGRAMS WILD GRAPE 1.75L,16.94000000,20.99000000,0.00000000,True,720815980242,VODKA,.,False,True,True
720815980273,SEAGRAM WATERMELON 200ML,3.46000000,4.99000000,0.00000000,True,720815980273,VODKA,.,False,True,True
720815980365,1.0L SEAGRAMS WGRAPE VOD 70,0.00000000,0.00000000,0.00000000,False,720815980365,NONE,.,False,True,True
720815980433,SEAGRAM GRAPE VODKA 750ML,9.59000000,11.99000000,0.00000000,True,720815980433,VODKA,.,False,True,True
720815980440,SEAGRAM WATERMELON 1.75ML,0.00000000,15.99000000,0.00000000,True,720815980440,VODKA,.,False,True,True
720815980525,375ML SEAGRAMS WGRAPE VOD 70,0.00000000,0.00000000,0.00000000,False,720815980525,NONE,.,False,True,True
720815980679,200ML SEAGRAMS WGRAPE VOD 70,0.00000000,0.00000000,0.00000000,False,720815980679,NONE,.,False,True,True
720815980709,50ML SEAGRAMS WGRAPE VOD 10x12,0.00000000,0.00000000,0.00000000,False,720815980709,NONE,.,False,True,True
720815980846,1.75L SEAGRAMS ESPRESSO VOD 70,0.00000000,0.00000000,0.00000000,False,720815980846,NONE,.,False,True,True
720815980969,1.0L SEAGRAMS ESPRESSO VOD 70,0.00000000,0.00000000,0.00000000,False,720815980969,NONE,.,False,True,True
720815981034,750ML SEAGRAMS ESPRESSO VOD 70,0.00000000,0.00000000,0.00000000,False,720815981034,NONE,.,False,True,True
720815981126,375ML SEAGRAMS ESPRESSO VOD 70,0.00000000,0.00000000,0.00000000,False,720815981126,NONE,.,False,True,True
720815981270,200ML SEAGRAMS ESPRESSO VOD 70,0.00000000,0.00000000,0.00000000,False,720815981270,NONE,.,False,True,True
720815981447,1.75L SEAGRAMS BLKBERRY VOD 70,0.00000000,0.00000000,0.00000000,False,720815981447,NONE,.,False,True,True
720815981560,1.0L SEAGRAMS BLKBERRY VOD 70,0.00000000,0.00000000,0.00000000,False,720815981560,NONE,.,False,True,True
720815981638,750ML SEAGRAMS BLKBERRY VOD 70,0.00000000,0.00000000,0.00000000,False,720815981638,NONE,.,False,True,True
720815981720,375ML SEAGRAMS BLKBERRY VOD 70,0.00000000,0.00000000,0.00000000,False,720815981720,NONE,.,False,True,True
720815981874,200ML SEAGRAMS BLKBERRY VOD 70,0.00000000,0.00000000,0.00000000,False,720815981874,NONE,.,False,True,True
720815981904,50ML SEAGRAMS BLKBRY VOD 10X12,0.00000000,0.00000000,0.00000000,False,720815981904,NONE,.,False,True,True
720815982109,50ML SEAGRAMS ESPR VOD70 10X12,0.00000000,0.00000000,0.00000000,False,720815982109,NONE,.,False,True,True
720815982574,SEAGRAM APPLE 200ML,3.46000000,4.99000000,0.00000000,True,720815982574,VODKA,.,False,True,True
720815982628,SEAGRAM APPLE 375ML,5.61000000,5.99000000,0.00000000,True,720815982628,VODKA,.,False,True,True
720815982734,SEAGRAMS APPLE VODKA 750ML,7.73000000,9.99000000,0.00000000,True,720815982734,VODKA,.,False,True,True
720815982949,SEAGRAMS APPLE VODKA 1.75L,16.94000000,15.99000000,0.00000000,True,720815982949,VODKA,.,False,True,True
